Date,Conversion Rate,ROAS%
2023-06-16 00:00:00,39.4%,16.76348842188981
2023-06-17 00:00:00,33.0%,14.751160057934577
2023-06-18 00:00:00,33.0%,11.985102420856611
2023-06-19 00:00:00,32.3%,10.821331306039395
2023-06-20 00:00:00,35.9%,15.389060899260102
2023-06-21 00:00:00,37.9%,13.807421113166976
2023-06-22 00:00:00,29.3%,12.913070096463025
2023-06-23 00:00:00,39.7%,15.388544701323
2023-06-24 00:00:00,31.1%,15.362743497025548
2023-06-25 00:00:00,38.7%,17.170534719643516
2023-06-26 00:00:00,40.3%,16.44061783648073
2023-06-27 00:00:00,36.2%,16.774356403526877
2023-06-28 00:00:00,34.9%,16.31986087724625
2023-06-29 00:00:00,29.3%,10.768908052674512
2023-06-30 00:00:00,28.0%,12.881968514353753
2023-07-01 00:00:00,36.3%,12.334086575404845
2023-07-02 00:00:00,29.6%,14.886164016999842
2023-07-03 00:00:00,31.9%,11.653945303210463
2023-07-04 00:00:00,36.7%,15.907033415259113
2023-07-05 00:00:00,33.4%,16.88793511321393
2023-07-06 00:00:00,36.4%,14.47121410082584
2023-07-07 00:00:00,33.6%,13.891095319774564
2023-07-08 00:00:00,34.0%,15.388539562923889
2023-07-09 00:00:00,34.5%,13.006495270318569
2023-07-10 00:00:00,34.5%,15.43380011906919
2023-07-11 00:00:00,42.3%,19.1244901271301
2023-07-12 00:00:00,36.5%,13.888175342465756
2023-07-13 00:00:00,30.7%,14.435023128928952
2023-07-14 00:00:00,35.1%,15.257095904480677
2023-07-15 00:00:00,35.3%,15.841636348936856
2023-07-16 00:00:00,33.9%,14.803825793417383
2023-07-17 00:00:00,31.7%,14.909624747946687
2023-07-18 00:00:00,31.5%,14.26890678675558
2023-07-19 00:00:00,28.0%,14.737707707140016
2023-07-20 00:00:00,27.8%,12.557195011393429
2023-07-21 00:00:00,32.0%,12.990866650706245
2023-07-22 00:00:00,30.9%,15.1979724299932
2023-07-23 00:00:00,29.3%,11.33990962775241
2023-07-24 00:00:00,26.6%,11.269888431118998
2023-07-25 00:00:00,23.3%,10.324619324796275
2023-07-26 00:00:00,35.9%,16.258526669032946
2023-07-27 00:00:00,32.7%,17.92634130575307
2023-07-28 00:00:00,32.0%,16.332216945763562
2023-07-29 00:00:00,32.9%,15.690205011389526
2023-07-30 00:00:00,33.6%,16.61723264064876
2023-07-31 00:00:00,30.3%,13.518397177419352
2023-08-01 00:00:00,38.3%,17.7993178594066
2023-08-02 00:00:00,31.5%,10.539405002713503
2023-08-03 00:00:00,31.0%,12.244880946677526
2023-08-04 00:00:00,30.2%,10.0091109187585
2023-08-05 00:00:00,31.3%,12.382867900847188
2023-08-06 00:00:00,32.9%,16.380340701292866
2023-08-07 00:00:00,31.8%,10.640310193125048
